2.88,11.106,12.58,12.42,12.06,12.50,11.15,11.00
1.51,18.36,4.42,3.58,4.23,2.25,2.21,2.26
0.85,4.98,4.14,3.93,3.66,3.11,2.64,3.40
0.97,5.34,4.27,3.85,3.34,2.94,3.25,2.86
0.87,2.59,3.46,3.26,3.35,3.17,3.55,2.36
1.31,3.20,3.90,4.01,4.37,4.16,2.63,2.51
0.92,3.07,3.37,4.20,3.30,2.68,2.21,1.79
1.59,4.42,4.96,6.21,5.45,4.67,3.89,7.91
